ID,ROI,Area,X,Y,Mean_CD34,StDev_CD34,Mode_CD34,Min_CD34,Max_CD34,Median_CD34,Skew_CD34,Kurt_CD34,Background_CD34,Mean_Etv1,StDev_Etv1,Mode_Etv1,Min_Etv1,Max_Etv1,Median_Etv1,Skew_Etv1,Kurt_Etv1,Background_Etv1,Mean_Nppb,StDev_Nppb,Mode_Nppb,Min_Nppb,Max_Nppb,Median_Nppb,Skew_Nppb,Kurt_Nppb,Background_Nppb,Mean_synpr,StDev_synpr,Mode_synpr,Min_synpr,Max_synpr,Median_synpr,Skew_synpr,Kurt_synpr,Background_synpr,Mean_trpa1,StDev_trpa1,Mode_trpa1,Min_trpa1,Max_trpa1,Median_trpa1,Skew_trpa1,Kurt_trpa1,Background_trpa1,Mean_trpm8,StDev_trpm8,Mode_trpm8,Min_trpm8,Max_trpm8,Median_trpm8,Skew_trpm8,Kurt_trpm8,Background_trpm8,Mean_calca,StDev_calca,Mode_calca,Min_calca,Max_calca,Median_calca,Skew_calca,Kurt_calca,Background_calca,Mean_nefh,StDev_nefh,Mode_nefh,Min_nefh,Max_nefh,Median_nefh,Skew_nefh,Kurt_nefh,Background_nefh,Mean_S100b,StDev_S100b,Mode_S100b,Min_S100b,Max_S100b,Median_S100b,Skew_S100b,Kurt_S100b,Background_S100b,Mean_trpv1,StDev_trpv1,Mode_trpv1,Min_trpv1,Max_trpv1,Median_trpv1,Skew_trpv1,Kurt_trpv1,Background_trpv1,Mean_sstr2,StDev_sstr2,Mode_sstr2,Min_sstr2,Max_sstr2,Median_sstr2,Skew_sstr2,Kurt_sstr2,Background_sstr2,Mean_Fxyd2,StDev_Fxyd2,Mode_Fxyd2,Min_Fxyd2,Max_Fxyd2,Median_Fxyd2,Skew_Fxyd2,Kurt_Fxyd2,Background_Fxyd2,Mean_mrgprd,StDev_mrgprd,Mode_mrgprd,Min_mrgprd,Max_mrgprd,Median_mrgprd,Skew_mrgprd,Kurt_mrgprd,Background_mrgprd,Mean_tmem45b,StDev_tmem45b,Mode_tmem45b,Min_tmem45b,Max_tmem45b,Median_tmem45b,Skew_tmem45b,Kurt_tmem45b,Background_tmem45b,Mean_tmem233,StDev_tmem233,Mode_tmem233,Min_tmem233,Max_tmem233,Median_tmem233,Skew_tmem233,Kurt_tmem233,Background_tmem233,Cellstack,Thumbnail
1453,0817-2204,106,2205.8491,818.2264,38.4434,17.5847,37,5,141,37,2.2385,10.0067,45.5229,48.7642,24.5359,37,7,127,45,0.859,0.5489,38.8464,39.7358,11.636,36,12,72,36,0.3526,-0.0337,37.5719,22.3396,8.3631,18,6,43,24,0.3677,-0.3256,23.4837,54.7642,15.7719,60,30,105,60,0.1899,-0.2408,51.9608,11.4528,2.043,10,6,17,11,0.1692,0.06133,11.0131,14.4906,1.9186,14,11,19,14,0.06326,-0.3629,14.3072,16.8679,6.0428,16,5,32,17,0.2695,-0.256,16.085,50.5566,14.1671,37,29,90,50,0.5906,-0.1974,43.1797,16.6792,3.9292,18,7,26,17,0.01221,-0.2029,17.0033,24.934,3.9116,24,17,35,24,0.4652,-0.001835,26.1895,6.3491,3.6175,5,2,29,6,3.5445,16.7098,15.183,22.0189,1.8256,21,19,28,22,0.5664,0.4465,21.6503,28.934,5.4042,26,21,62,28,3.3529,15.117,30.2843,23.0283,5.6222,22,9,42,22,0.2376,0.2395,24.915,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1454_0817-2204.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1454_0817-2204.tif
1454,0839-2193,43,2193.8721,838.4302,30.8837,14.1105,27,0,86,27,1.2038,3.8685,41.3246,71.1395,29.7958,60,7,150,67,0.1596,-0.04133,52.1974,36,10.1419,36,24,60,36,0.4789,-0.42,35.4211,20.9767,7.9806,12,12,43,18,0.7254,-0.01131,21.8684,48.8372,17.3493,60,15,90,45,0.4229,0.3911,44.9342,10.5581,1.931,10,7,16,10,0.3825,0.07518,11.3684,14.5581,2.1415,14,10,19,14,0.2356,0.003846,15.1009,17.3953,3.6848,18,9,26,18,-0.5326,0.3687,11.7237,48.8605,12.0566,57,24,78,47,0.1502,-0.5979,34.307,15.7209,3.8441,17,8,23,16,-0.1609,-0.3444,17.1404,23.9535,4.2086,24,14,33,24,-0.2211,0.2183,24.8596,5.1163,1.8543,7,3,8,4,0.2363,-1.5977,6.3465,21.6047,2.3415,19,18,27,22,0.328,-0.833,21.1404,29,2.5448,30,24,36,29,0.1403,0.3245,29.9386,23,4.899,23,11,35,23,0.008606,0.1278,21.5,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1455_0839-2193.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1455_0839-2193.tif
1455,0870-2093,324,2091.8364,871.7531,42.858,17.2226,32,10,108,37,1.1676,1.9546,37.4122,58.6049,25.6244,52,0,157,60,0.4084,0.5974,37.3204,43.8272,13.8486,48,12,109,48,0.538,1.1038,38.6878,34.358,13.2123,31,6,99,31,0.8605,1.5254,22,56.4352,18.9718,60,0,135,60,0.3061,0.5494,44.7857,10.7963,1.8459,10,4,17,11,-0.09599,0.636,11.6612,13.6358,2.3874,14,9,22,14,0.5307,0.4106,14.5755,28.1574,9.2835,23,8,53,28,0.07442,-0.714,15.6347,72.5278,18.5777,71,19,126,73,-0.1353,-0.1908,37.2837,14.6759,3.2998,15,6,23,15,-0.0118,-0.324,16.1367,28.963,4.5645,31,15,43,29,0.1316,0.0749,26.5327,10.0679,7.3055,7,2,57,8,2.9227,10.1195,11.2184,24.0093,2.8853,24,17,37,24,0.7893,1.4674,21.9041,31.9012,3.7329,30,24,49,31,1.0458,2.0972,29.8388,30.6296,6.7111,28,13,49,30,0.236,0.109,24.5959,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1456_0870-2093.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1456_0870-2093.tif
1456,0896-2097,232,2096.8966,895.6121,44.8966,18.163,37,10,97,43,0.5447,-0.05399,35.7279,33.0086,18.0902,37,0,90,30,0.3164,-0.1512,33.6569,32.4828,11.3888,24,12,72,36,0.4304,0.09987,33.5,33.6379,12.2045,31,6,87,31,0.6918,1.3476,23.7304,43.6422,16.8386,45,0,90,45,0.03134,-0.1243,43.3456,9.9353,2.089,9,5,15,10,0.3487,-0.2279,13.5662,16.7974,8.0543,14,8,46,14,1.9729,3.3096,22.5637,20.9181,6.7071,24,4,37,23,-0.4104,-0.6977,13.7304,61.4526,13.852,60,34,100,60,0.2932,-0.08668,36.2402,12.9828,3.4112,15,5,23,13,0.241,-0.1273,15.5956,25.9871,4.4736,24,13,39,26,0.2938,0.08182,24.1642,6.2629,1.7017,5,3,10,6,-0.08705,-0.5456,5.6078,21.9224,1.864,21,17,26,22,0.02875,-0.1705,21.7255,30.6853,3.3225,30,23,46,30,1.0803,2.957,29.3358,26.9009,8.3388,27,9,56,26,1.055,1.4911,30.2721,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1457_0896-2097.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1457_0896-2097.tif
1457,0884-2138,122,2138.8934,883.9754,33.4016,10.9194,32,10,65,32,0.3578,0.03111,27.8239,47.541,18.578,37,0,97,45,0.3493,-0.1253,42.9535,37.1885,12.7054,36,12,97,36,0.8525,2.9041,33.9269,20.8443,7.6277,18,0,49,18,0.7597,1.1708,19.9967,51.1475,17.5432,45,15,120,45,0.8409,1.0173,46.0465,10.3279,1.9218,10,7,16,10,0.1311,-0.376,9.6146,13.5164,2.728,12,8,27,13,1.3985,4.3252,18.3355,25.8443,6.5958,25,10,46,25,0.4372,0.3497,22.4884,56.6066,9.6214,52,35,82,57,0.04678,-0.1006,46.2791,15.4426,3.5838,15,8,30,15,1.0788,2.3196,15.7043,26.6721,4.2103,25,18,38,27,0.1946,-0.299,25.5748,5.9754,1.7366,7,3,10,6,-0.2473,-1.1198,6.299,22.6721,2.1607,22,17,28,22,0.1365,-0.427,21.8904,30.6475,4.0675,30,24,49,30,1.6104,3.9214,30.1595,25.623,6.4824,26,10,45,26,0.2508,0.1522,24.5947,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1458_0884-2138.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1458_0884-2138.tif
1458,0867-2137,361,2137.3504,866.0789,31.8089,11.468,32,0,65,32,0.3312,0.2233,29.6548,47.9972,22.8954,45,0,157,45,0.7838,1.7695,46.9822,40.4986,13.311,36,12,85,36,0.5016,0.4833,39.0512,24.7119,9.0827,24,6,74,24,0.7213,1.8429,21.0245,47.8255,17.1608,45,0,120,45,0.3182,0.6522,47.7728,9.4903,2.2572,10,4,17,10,0.1201,0.06548,9.7996,12.9114,3.4726,14,8,45,13,3.7764,29.3709,15.8708,30.385,8.8153,31,8,53,31,-0.1692,0.1141,21.8151,76.8698,18.4628,72,22,128,76,0.1099,0.07969,51.2762,13.1302,3.8568,13,4,25,13,0.1528,-0.05034,15.4499,25.4598,4.0248,26,15,38,26,0.2442,0.02275,24.8151,6.4681,1.8483,7,3,13,7,0.02937,-0.05743,6.1826,22.6316,2.0589,22,18,28,22,0.3346,-0.189,22.2984,30.4072,3.3054,30,23,46,30,0.8849,2.0483,30.2249,25.3047,5.8015,25,13,49,25,0.7421,1.1163,25.8107,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1459_0867-2137.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1459_0867-2137.tif
1459,0858-2149,153,2147.9183,857.9641,27.8431,9.5415,27,5,59,27,0.2133,0.1725,32.9313,46.1307,21.3424,30,7,135,45,0.9746,1.6484,46.0955,39.2941,12.0186,36,12,72,36,0.2186,-0.2512,40.1373,23.6078,9.3409,24,0,62,24,0.6262,1.1804,24.5552,44.8039,15.1948,45,15,90,45,0.3309,0.2613,44.7313,9.7647,2.353,10,4,18,10,0.4631,0.6975,11.5851,13.3725,2.3672,14,8,20,14,-0.1477,-0.2434,12.9612,19.5294,6.3329,18,9,37,18,0.6226,-0.1815,22.0597,63.4379,18.4426,50,28,127,60,0.8807,0.7581,62.4687,13.281,3.8431,14,5,24,13,0.1055,-0.1451,13.1343,23.7386,4.4126,21,12,39,23,0.583,1.2203,25.0866,5.7124,1.827,4,3,11,6,0.2872,-0.7767,5.9134,21.3268,1.7838,21,16,26,21,0.1703,0.1845,21.5134,29.8497,4.3706,27,22,61,29,3.0722,17.5023,29.2507,22.8301,5.8442,19,10,44,23,0.4857,0.566,23.0627,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1460_0858-2149.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1460_0858-2149.tif
1460,0867-2161,247,2160.6741,866.7955,35.6356,14.4091,32,5,86,32,0.6781,0.2341,34.4486,54.9798,26.1309,52,0,142,52,0.6418,0.0704,46.782,39.8381,13.6378,36,12,72,36,0.4164,-0.2367,38.3935,30.1457,11.3472,24,6,93,31,1.1116,3.8013,28.1754,48.0972,16.0735,45,15,105,45,0.4564,0.5242,47.7444,8.8138,3.3492,8,4,29,8,2.5478,10.991,13.4085,11.332,2.2331,11,7,18,11,0.4379,-0.3271,12.1103,42.5344,14.3577,30,18,89,40,1.223,1.517,27.3058,80.6437,15.6749,75,37,117,82,-0.1471,-0.2631,55.1529,12.2227,3.572,13,5,24,12,0.4581,0.03847,14.9098,25.2429,4.0632,24,15,39,25,0.6008,0.5035,25.416,6.0243,1.8912,7,3,11,7,-0.02777,-0.8197,6.1128,21.7368,2.0737,21,16,27,21,0.1428,-0.2634,21.9173,29.583,2.9148,30,24,39,30,0.5671,0.5552,29.4536,23.0121,5.7336,24,10,45,23,0.4978,0.8661,24.6441,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1461_0867-2161.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1461_0867-2161.tif
1461,0878-2150,142,2150.8099,878.1972,29.5704,11.8012,32,0,65,32,0.2025,0.1207,31.202,51.8944,23.7023,52,15,157,52,0.9178,1.777,39.1433,34.6479,12.3025,36,12,72,36,0.5436,0.4641,34.1629,21.9437,7.2442,18,6,43,24,0.2812,-0.2385,24.57,44.4718,15.9199,45,15,90,45,0.3916,0.03468,41.5309,7.9437,2.1029,9,4,15,8,0.5291,0.9925,8.8958,11.7324,2.199,12,7,17,12,0.2584,-0.344,13.1987,39.1972,11.5441,45,8,75,42,-0.3795,0.525,28.2182,64.9225,13.7289,60,22,98,65,-0.271,0.02896,53.9479,14.0211,3.4956,15,6,21,14,-0.1387,-0.7291,13.8762,25.2746,4.8145,27,14,41,25,0.2438,0.7246,24.6482,5.8592,1.7928,7,3,10,7,-0.1731,-1.4657,5.8111,21.7676,2.0165,21,18,28,22,0.3095,-0.03212,22.0586,30.1197,3.4322,27,23,49,30,1.6998,6.855,29.8664,27.1901,6.8167,26,13,46,27,0.3316,-0.08411,24.2476,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1462_0878-2150.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1462_0878-2150.tif
1462,0873-2117,121,2118.0207,872.4174,40.2727,19.3533,37,5,162,37,2.3365,11.7997,37.1289,51.4545,19.3856,45,7,120,52,0.3891,0.4173,45.3679,47.7521,17.1227,36,12,97,48,0.6209,0.04808,47.0943,22.4628,8.5245,24,6,55,24,0.7533,0.8404,21.4088,61.1157,21.923,45,15,135,60,0.5461,0.5282,60.4245,9.8678,2.4998,10,3,16,10,0.05772,-0.1755,10.7736,13.6942,7.3403,12,7,58,12,3.3725,13.6704,18.5346,40.9421,16.6329,54,6,66,49,-0.6956,-0.9893,26.4906,55.1405,10.0617,54,33,82,55,0.1998,0.02609,43.7421,18.7934,4.7957,19,10,46,19,1.7704,8.0291,19.2736,30.719,5.4071,28,21,43,30,0.2969,-0.451,27.217,7.843,1.9149,7,3,12,7,0.04618,0.09362,7.3428,24.4959,2.3456,24,18,30,24,0.01884,0.2306,22.8239,31.8843,5.5725,32,26,74,31,4.5983,28.852,30.8648,29.3884,6.6925,31,8,51,29,-0.2277,0.9099,28.478,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1463_0873-2117.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1463_0873-2117.tif
1463,0851-2123,133,2124.1316,851.1241,27.0376,10.6447,27,0,59,27,0.3523,0.02089,36.1671,50.9774,23.8894,37,0,127,52,0.485,0.09605,42.1644,39.797,12.5925,36,12,85,36,0.5915,0.8623,40.3205,21.1729,7.7611,18,6,43,18,0.6619,0.3174,23.0904,45,15.3371,45,15,90,45,0,-0.1925,47.0137,10.1278,3.1537,10,4,18,10,0.493,-0.3551,16.2466,13.5113,3.2651,11,8,22,14,0.3442,-0.525,14.1041,30.6992,13.8668,47,6,53,31,-0.1562,-1.4344,23.3562,65.4135,22.357,44,22,120,65,0.2119,-0.6083,52.3973,13.0677,3.738,10,5,25,13,0.3146,0.1124,14.6137,25.7519,4.031,23,15,38,25,0.4089,0.08312,25.3781,6.1128,1.6221,7,3,10,6,-0.3647,-0.677,6.3425,21.9248,1.7128,22,17,27,22,0.0899,0.3389,22.4164,29.391,2.5311,29,24,36,29,0.1182,-0.3657,30.2329,23.8797,6.9304,19,11,41,23,0.2006,-0.8128,27.2548,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1464_0851-2123.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1464_0851-2123.tif
1464,0877-2168,179,2168.3547,877.9637,40.4246,14.3091,37,5,92,37,0.5032,0.5758,31.8961,31.3799,18.1393,30,0,82,30,0.2859,-0.1516,34.5674,32.581,10.9595,36,12,60,36,0.4145,-0.0004877,31.5169,30.486,10.5657,31,6,62,31,0.08784,-0.1948,25.441,42.7374,16.0159,45,0,105,45,-0.002584,0.7507,40.1545,8.7933,1.5422,9,5,14,9,0.1737,0.2316,9.0478,12.3911,1.667,12,9,18,12,0.4245,0.5192,12.9972,26.6313,7.4357,28,11,47,26,0.5851,0.04387,22.1292,60.8324,12.9604,58,18,106,61,0.1621,1.0201,52.3511,13.0559,2.8869,13,6,20,13,-0.1191,-0.4467,13.2837,23.7821,3.5997,24,13,34,24,-0.07241,-0.01878,23.4494,5.6704,1.7571,7,3,11,7,0.1608,-1.0199,5.5562,21.7207,2.0636,21,18,27,21,0.4892,-0.02172,21.1966,29.5866,3.2991,30,23,49,30,1.5939,6.4303,29.2079,20.4413,4.7606,21,8,35,21,0.1054,0.2108,22.0983,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1465_0877-2168.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1465_0877-2168.tif
1465,0878-2182,80,2181.9625,878.0375,29.8,12.2261,27,0,59,27,0.2731,-0.13,26.6278,44.2375,25.8762,60,0,135,45,0.9197,1.423,31.8797,30.6,10.9517,36,12,60,36,0.1026,-0.3801,29.5038,24.9,9.9143,24,6,49,24,0.3126,-0.5115,22.4586,43.875,15.2402,45,0,90,45,0.369,0.8056,39.1917,10.3375,1.6377,9,7,14,10,0.4216,-0.4789,10.5414,15.8625,1.9405,14,11,22,16,0.5821,0.6709,14.2331,12.7875,3.6097,14,4,20,13,-0.15,-0.3341,9.6203,54.2625,10.542,54,33,75,56,-0.2127,-0.7224,39.3308,14.4875,3.1822,14,8,22,14,0.1659,-0.113,14.4624,23.875,3.5449,24,16,32,24,0.1808,-0.2956,22.6165,5.4875,1.6838,4,4,11,4,0.534,-0.6707,5.0301,21.725,1.942,21,19,27,21,0.9347,0.734,21.282,28.5375,2.7831,27,24,36,27,0.2505,-0.4359,28.3496,19.2875,5.1317,18,5,36,18,0.1756,0.6025,19.3233,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1466_0878-2182.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1466_0878-2182.tif
1466,0861-2178,204,2178.4265,861.5441,27.6373,11.941,21,5,70,27,0.8933,1.2291,29.5777,31.6569,17.4107,37,0,97,30,0.6095,0.6796,36.2643,31.25,12.5223,24,0,85,24,1.4445,3.9905,31.7847,24.4314,10.2798,18,0,68,24,1.152,2.3583,23.1935,38.0882,16.0594,30,0,105,30,0.9481,1.8704,43.8147,11.098,3.7797,10,5,32,10,2.0046,6.1414,11.5886,16.7549,6.398,12,8,35,15,0.8165,-0.3131,15.0654,15.0931,7.7762,9,5,36,12,0.7509,-0.5593,18.4387,43.701,10.5145,38,20,78,43,0.369,0.0743,42.3651,13.5833,2.6814,12,6,22,13,0.4109,0.3843,14.1771,22.451,4.2336,24,13,35,22,0.1034,-0.3402,23.1144,5.299,1.7402,4,3,11,4,0.6541,-0.7423,5.4223,20.75,2.0729,19,16,27,21,0.3462,0.2223,21.1553,27.8971,2.5334,27,21,33,27,-0.03172,-0.3185,28.5504,19.8971,5.7256,21,8,39,20,0.6071,0.2145,21.5422,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1467_0861-2178.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1467_0861-2178.tif
1467,0913-2259,263,2258.6369,912.9791,49.4297,15.5191,54,5,113,48,0.4177,1.4842,40.6776,65.1293,25.6751,67,7,135,67,0.3461,-0.06914,47.7909,56.8707,17.6633,48,12,121,60,0.6101,0.4854,44.5189,31.5856,12.4698,24,0,68,31,0.4299,0.2156,26.7053,92.3954,35.8107,75,15,225,90,1.0549,1.2065,75.869,12.2129,2.6124,12,5,18,12,-0.119,-0.5087,12.0932,20.1749,10.9143,14,8,84,17,2.1628,6.9247,27.6171,38.3346,18.7646,5,2,70,42,-0.5509,-0.7715,13.7582,90.7148,29.3962,94,14,157,94,-0.4567,-0.03914,39.1008,19.6616,7.6853,21,5,56,19,1.5466,3.985,23.5793,32.5932,6.2735,33,19,52,33,0.08175,-0.4129,27.9647,6.5817,1.9042,7,2,12,7,-0.1178,-0.2703,6.67,26.7034,3.2095,26,19,36,26,0.257,-0.3034,23.5743,34.3232,4.963,34,25,64,33,1.8166,6.9739,31.4534,33.6502,9.3962,23,14,60,33,0.323,-0.5576,29.4458,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1468_0913-2259.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1468_0913-2259.tif
1468,0899-2279,433,2279.7587,898.5393,41.4226,16.2725,32,5,119,43,0.7182,1.7077,36.7939,70.9885,33.6809,82,7,195,67,0.6426,0.486,70.1653,49.0115,17.1145,48,12,145,48,0.52,2.0145,49.0796,25.746,9.5634,18,0,55,24,0.5014,-0.07567,24.0918,65.3349,19.9378,60,15,120,60,0.05741,0.2595,64.0714,10.3164,2.3939,10,4,19,10,-0.02037,0.2143,10.1612,12.7206,2.9278,11,8,26,13,0.4802,0.8841,12.6041,40.9169,20.5595,32,3,122,41,0.2184,0.4482,39.7878,52.6605,17.8173,53,9,97,54,-0.1886,-0.3141,56.9,18.1801,3.9982,16,7,29,18,-0.08059,-0.1694,17.2878,31.5266,5.4331,33,16,46,32,-0.1381,0.09687,29.9306,6.8568,1.9586,7,2,14,7,0.2286,0.1225,6.7204,24.7852,3.038,26,16,35,25,-0.0132,0.325,24.0959,33.2448,5.0498,33,23,55,33,1.43,3.396,31.8755,30.2841,7.166,28,8,48,30,-0.1683,-0.3446,29.0571,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1469_0899-2279.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1469_0899-2279.tif
1469,0896-2300,308,2298.5812,897.1688,58.3571,24.5444,48,16,162,54,1.5377,3.2467,56.987,76.474,28.7587,67,0,150,75,0.1051,-0.1748,59.0952,58.8247,19.5163,48,24,133,60,0.8597,1.2353,46.8701,35.8961,14.3836,37,6,118,37,1.2889,4.1025,34.0519,84.3506,23.7605,75,15,180,90,0.2436,0.3943,65.0325,12.3831,2.8472,13,5,23,12,0.2629,0.4396,10.5844,13.4156,2.8011,11,8,25,13,0.4766,0.879,13.0303,40.1266,12.0304,41,6,67,42,-0.9209,0.677,31.71,75.8409,17.2182,72,31,136,76,-0.03268,0.2353,54.2229,20.2338,4.3575,20,8,34,20,0.3457,0.1683,17.9221,35.3864,5.6312,35,22,52,35,0.1531,-0.2047,30.6948,7.2597,2.0237,7,2,15,7,0.3311,0.999,6.4134,26.737,3.107,24,20,37,26,0.6841,0.4321,23.8442,33.7045,3.5275,35,25,49,34,0.4453,0.8693,32.0628,34.3506,7.7963,31,18,60,34,0.5929,0.3556,29.9459,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1470_0896-2300.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1470_0896-2300.tif
1470,0892-2326,97,2325.9742,890.5825,54.9691,17.7091,43,21,130,54,0.9851,1.9532,44.215,71.8454,26.3535,67,7,157,67,0.3331,0.6557,57.3811,57.7835,19.1943,48,24,121,60,0.7067,0.217,50.5961,32.4433,11.3679,31,6,62,31,0.1558,-0.1622,30.9544,88.299,21.6372,90,30,135,90,0.1364,-0.3178,71.2378,14.5876,2.2765,13,10,22,14,0.9854,1.1992,13.4007,15.7113,2.3361,16,10,22,16,0.2086,-0.1847,16.3127,20.8351,11.0696,9,5,43,21,0.109,-1.3122,10.7199,62.6289,17.9585,79,26,103,62,0.1881,-0.6389,38.0847,20.1443,3.6286,20,12,28,20,0.04349,-0.6155,20.5765,36.5979,7.4577,32,21,60,36,0.3892,0.1266,32.873,7.7423,1.8216,7,4,11,7,0.05364,0.06407,10.1531,27.567,2.7648,27,21,35,27,0.2859,0.09952,25.5375,35.2371,3.8045,34,26,45,35,0.3273,-0.2805,34.456,39.6701,7.7469,41,15,61,40,-0.2784,0.6879,32.8143,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1471_0892-2326.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1471_0892-2326.tif
1471,0888-2347,125,2348.156,888.436,40.384,22.4815,32,5,97,37,0.347,-0.621,27.7812,56.016,36.344,7,7,172,52,0.758,0.3058,38.0122,37.896,26.2739,48,0,109,36,0.2891,-0.7094,31.0426,27.008,15.3058,18,6,74,24,0.5361,-0.2105,20.4103,69,34.8152,60,0,165,60,0.2238,-0.2412,49.5137,12.808,3.7237,13,7,22,13,0.147,-0.5823,11.2948,15.584,3.1755,14,11,25,15,0.6356,0.264,14.8845,11.608,7.2166,3,3,29,12,0.3818,-0.9377,6.8176,41.136,20.5906,9,5,90,46,-0.1005,-0.829,25.5805,19.28,6.4453,19,8,36,19,0.3446,-0.378,16.0973,29.992,9.2749,33,11,64,30,0.5088,0.9745,25.8571,6.304,2.2691,4,3,12,7,0.4479,-0.5709,5.6018,22.424,4.5228,16,16,34,23,0.007615,-0.914,21.4894,31.64,4.9111,30,21,42,32,-0.0903,-0.5178,28.9818,31.608,13.0618,32,6,73,32,0.4004,0.3835,23.924,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1472_0888-2347.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1472_0888-2347.tif
1472,0871-2343,268,2343.3881,870.3694,51.7873,15.7987,48,21,124,48,0.9293,1.549,44.7904,69.6679,27.5183,52,7,150,67,0.3646,-0.2687,59.5808,67.6045,24.0326,48,24,194,60,1.7904,5.884,57.3283,33.1007,10.9675,31,12,68,31,0.3931,-0.1383,30.6843,84.6269,26.2809,75,15,210,75,0.7654,2.2145,76.1364,13.9739,3.115,13,6,25,14,0.4012,0.3937,14.1641,19.9403,5.6213,18,11,42,18,1.1883,1.329,16.6717,33.9776,9.6799,39,9,59,34,-0.2159,-0.05184,26.4571,81.5,21.4683,90,32,150,82,0.1464,-0.2636,67.5,20.5336,4.5922,18,9,33,20,0.1236,-0.09572,19.346,36.1493,6.6485,32,19,60,36,0.2716,0.2853,33.7601,7.9515,2.2255,7,3,15,7,0.6249,0.8739,11.6263,27.4851,3.1355,27,21,37,27,0.02405,-0.1804,25.4874,36.1716,4.6881,36,27,73,36,2.6605,16.2414,34.7298,38.0821,9.4362,39,17,78,37,0.7173,0.8738,35.1035,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1473_0871-2343.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1473_0871-2343.tif
