"","id","genes.plot","avg.exp","pct.exp","avg.exp.scale",".group"
"181","C10","Calca",136.054703234558,99.7175141242938,1.65483480295568,1
"182","C10","Cd34",0.0222606437655089,0.564971751412429,-0.284854330856612,2
"183","C10","Etv1",0.0503055839659916,1.9774011299435,-0.437298654247026,3
"184","C10","Fxyd2",3.4671061461488,55.0847457627119,-0.753191247860388,4
"185","C10","Gal",14.9280235978923,92.9378531073446,2.32135646602924,5
"186","C10","Gm7271",0.0156384137240201,0.564971751412429,-0.428046792430199,6
"187","C10","Mrgpra3",0,0,-0.290545989870222,7
"188","C10","Mrgprd",0.019269159325117,0.282485875706215,-0.367624456356805,8
"189","C10","Nefh",2.34230738274008,46.6101694915254,-0.732312681977006,9
"190","C10","Nppb",0,0,-0.284878553893523,10
"191","C10","Piezo2",1.12702103884879,19.2090395480226,-0.818103037528277,11
"192","C10","S100b",0.112625211862287,3.10734463276836,-0.599796222813299,12
"193","C10","Sstr2",1.45894082199962,31.638418079096,2.5,13
"194","C10","Synpr",0.0242447074732662,1.41242937853107,-0.857879918710122,14
"195","C10","Tmem233",0.140141245989662,2.82485875706215,-0.622555749733369,15
"196","C10","Tmem45b",0.0326093530192282,0.564971751412429,-0.636681360008028,16
"197","C10","Trpa1",0.347523761977708,8.47457627118644,-0.314435748931686,17
"198","C10","Trpm8",0.0282993252779204,1.9774011299435,-0.387716924882339,18
"199","C10","Trpv1",4.1003309299778,62.1468926553672,1.0081871598844,19
"200","C10","Tubb3",14.4948727316212,93.5028248587571,-0.724339363476587,20
"201","C11","Calca",0.626187617929085,21.25,-0.813981217994857,1
"202","C11","Cd34",0,0,-0.314543145328458,2
"203","C11","Etv1",3.92220659168791,73.75,1.72885667417439,3
"204","C11","Fxyd2",46.0547394339055,100,1.38037397118163,4
"205","C11","Gal",0.0861474844934528,1.25,-0.634999377958573,5
"206","C11","Gm7271",0.0880338594600203,5,-0.403828349917037,6
"207","C11","Mrgpra3",0.0675961826123944,3.75,-0.255314384261826,7
"208","C11","Mrgprd",0.473609643110182,12.5,-0.129656426808579,8
"209","C11","Nefh",1.52823801056176,37.5,-0.799622336525309,9
"210","C11","Nppb",14.3774780048476,88.75,2.5,10
"211","C11","Piezo2",3.4643515386807,58.75,-0.415343770121224,11
"212","C11","S100b",0.0961043278413829,2.5,-0.602214123421059,12
"213","C11","Sstr2",0,0,-0.342323418183512,13
"214","C11","Synpr",0.30995980451511,8.75,-0.761051566609272,14
"215","C11","Tmem233",35.2307991289386,98.75,2.43222366854005,15
"216","C11","Tmem45b",4.92579901059108,75,1.47938189179053,16
"217","C11","Trpa1",0.103729179363685,3.75,-0.427453018270156,17
"218","C11","Trpm8",0,0,-0.403508454833828,18
"219","C11","Trpv1",2.64359308260027,55,0.276355024230467,19
"220","C11","Tubb3",16.3041673761151,96.25,-0.212086024604787,20
"221","C12","Calca",42.9719619260976,97.0588235294118,-0.042032078956037,1
"222","C12","Cd34",0,0,-0.314543145328458,2
"223","C12","Etv1",5.62897961833661,83.8235294117647,2.5,3
"224","C12","Fxyd2",48.6917035607075,94.1176470588235,1.51248121712299,4
"225","C12","Gal",0.0612012526961422,2.94117647058824,-0.639968422141126,5
"226","C12","Gm7271",0.494256678303492,16.1764705882353,-0.267934663709608,6
"227","C12","Mrgpra3",6.94186912998229,70.5882352941177,2.5,7
"228","C12","Mrgprd",0.885408025539262,27.9411764705882,0.0860295028743972,8
"229","C12","Nefh",2.1835151944082,57.3529411764706,-0.745442088028714,9
"230","C12","Nppb",0.0511579519604407,2.94117647058824,-0.272022823299119,10
"231","C12","Piezo2",4.39696627647706,72.0588235294118,-0.254639398790384,11
"232","C12","S100b",0.421556724590501,16.1764705882353,-0.554582801337988,12
"233","C12","Sstr2",0.0832722670041969,1.47058823529412,-0.133896329554974,13
"234","C12","Synpr",6.10312977861498,77.9411764705882,1.20224371543898,14
"235","C12","Tmem233",18.7888212182093,95.5882352941177,1.00088499472715,15
"236","C12","Tmem45b",4.93507382490823,77.9411764705882,1.48339279165692,16
"237","C12","Trpa1",0.299141871372624,14.7058823529412,-0.33686442270692,17
"238","C12","Trpm8",0,0,-0.403508454833828,18
"239","C12","Trpv1",1.5022446840725,36.7647058823529,-0.297032588045458,19
"240","C12","Tubb3",17.7657620622428,95.5882352941177,0.201725379924945,20
"241","C13","Calca",4.32319054482166,59.2592592592593,-0.746586105423064,1
"242","C13","Cd34",0.0234366051303309,1.55945419103314,-0.28328596207294,2
"243","C13","Etv1",0.193416822920524,6.23781676413255,-0.357234320938891,3
"244","C13","Fxyd2",43.5507913393837,94.1520467836257,1.25493059355458,4
"245","C13","Gal",0.152222535812228,2.14424951267056,-0.6218378771742,5
"246","C13","Gm7271",0.416103193185762,16.374269005848,-0.294079342663987,6
"247","C13","Mrgpra3",0.103864465659425,0.974658869395711,-0.236411100155774,7
"248","C13","Mrgprd",6.9965808982422,83.6257309941521,2.5,8
"249","C13","Nefh",3.15808031697717,59.8440545808967,-0.664862171897717,9
"250","C13","Nppb",0.00494834423453568,0.194931773879142,-0.283635060400727,10
"251","C13","Piezo2",9.46337030984748,88.6939571150098,0.618382699289094,11
"252","C13","S100b",0.268255599286872,7.01754385964912,-0.577019063439518,12
"253","C13","Sstr2",0.00325246471577863,0.389863547758285,-0.334182631629177,13
"254","C13","Synpr",8.34142183188044,87.1345029239766,1.9607970200492,14
"255","C13","Tmem233",23.8198923529046,97.8557504873294,1.43885947230469,15
"256","C13","Tmem45b",6.10549731883082,78.9473684210526,1.98954324112882,16
"257","C13","Trpa1",0.595053094206248,23.9766081871345,-0.199687140042642,17
"258","C13","Trpm8",0.0161501055409397,0.194931773879142,-0.394496406918734,18
"259","C13","Trpv1",0.22374536865463,9.94152046783626,-0.939321717911021,19
"260","C13","Tubb3",13.8734396426038,92.9824561403509,-0.900281505185399,20
